#,PLAYER,GP,MIN,PTS,PPG,APG,RPG,SPG,BPG,FGM,FGA,FG%,3 PM',3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
698,Fred Roberts,818,14703,5962,7.3,1.2,2.8,0.5,0.3,2257,4496,50.2,51,157,32.5,1397,1754,79.6,834,1474,2308,977,412,253,969,50.8,56.6
705,DeShawn Stevenson,824,18395,5930,7.2,1.6,2.2,0.5,0.2,2238,5515,40.6,550,1617,34,904,1296,69.8,410,1422,1832,1355,423,134,814,45.6,48.7
711,Larry Smith,883,22879,5904,6.7,1.1,9.2,0.8,0.5,2519,4743,53.1,0,7,0,866,1630,53.1,3401,4724,8125,941,699,457,1280,53.1,54.1
715,Cliff Levingston,830,16962,5888,7.1,0.9,5.2,0.6,0.7,2333,4524,51.6,5,33,15.2,1217,1800,67.6,1772,2535,4307,752,534,593,829,51.6,55.4
725,Nazr Mohammed,"1,005",15891,5827,5.8,0.4,4.7,0.4,0.6,2402,4939,48.6,0,8,0,1023,1599,64,1808,2900,4708,375,432,639,919,48.6,51.6
728,Theo Ratliff,810,20500,5809,7.2,0.6,5.7,0.5,2.4,2207,4451,49.6,0,2,0,1395,1965,71,1543,3053,4596,465,393,1968,1001,49.6,54.6
730,Eric Snow,846,23123,5791,6.8,5.0,2.5,1.2,0.1,2144,5054,42.4,55,265,20.8,1448,1897,76.3,419,1722,2141,4245,975,105,1391,43,49.2
732,Lucious Harris,800,15704,5784,7.2,1.4,2.3,0.7,0.1,2194,5151,42.6,402,1155,34.8,994,1258,79,554,1310,1864,1130,556,86,594,46.5,50.7
739,Darrall Imhoff,801,17874,5759,7.2,1.8,0.0,,,2299,5016,45.8,-,-,-,1161,1954,59.4,-,-,6099,1405,-,-,-,45.8,49
746,Steve Blake,870,20821,5662,6.5,4.0,2.1,0.7,0.1,2061,5145,40.1,1037,2709,38.3,503,646,77.9,250,1566,1816,3446,587,63,1222,50.1,52.1
757,Earl Watson,878,19493,5593,6.4,4.4,2.3,1.0,0.2,2112,5139,41.1,502,1551,32.4,867,1233,70.3,462,1523,1985,3871,873,176,1548,46,49.2
